Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.59     0.00        2     0.00     0.00  Fxch_ManPrintStats
  0.00      5.59     0.00        2     0.00     0.00  If_ManResetOriginalRefs
  0.00      5.59     0.00        2     0.00     0.00  Mem_FixedReadMemUsage
  0.00      5.59     0.00        2     0.00     0.00  Mem_StepReadMemUsage
  0.00      5.59     0.00        2     0.00     0.00  Mem_StepStart
  0.00      5.59     0.00        2     0.00     0.00  Mem_StepStop
  0.00      5.59     0.00        2     0.00     0.00  Nm_ManCreate
  0.00      5.59     0.00        2     0.00     0.00  Nm_ManFree
  0.00      5.59     0.00        2     0.00     0.00  Vec_WecRemoveEmpty
  0.00      5.59     0.00        2     0.00     0.00  CaDiCaL::Terminal::Terminal(_IO_FILE*)
  0.00      5.59     0.00        2     0.00     0.00  cuddFreeTable
  0.00      5.59     0.00        2     0.00     0.00  cuddInitTable
  0.00      5.59     0.00        2     0.00     0.00  cuddZddFreeUniv
  0.00      5.59     0.00        1     0.00     0.00  Abc_AigAlloc
  0.00      5.59     0.00        1     0.00     0.00  Abc_AigCheck
  0.00      5.59     0.00        1     0.00     0.00  Abc_AigCleanup
  0.00      5.59     0.00        1     0.00     0.00  Abc_AigDfs
  0.00      5.59     0.00        1     0.00     0.00  Abc_AigFree
  0.00      5.59     0.00        1     0.00     0.02  Abc_CommandBdd
  0.00      5.59     0.00        1     0.00     1.71  Abc_CommandFxch
  0.00      5.59     0.00        1     0.00     0.00  Abc_CommandRenode
  0.00      5.59     0.00        1     0.00     0.00  Abc_CommandSop
  0.00      5.59     0.00        1     0.00     0.00  Abc_End
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameAllocate
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameClearVerifStatus
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameCopyLTLDataBase
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameDeallocate
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameDeleteAllNetworks
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameEnd
  0.00      5.59     0.00        1     0.00     0.01  Abc_FrameInit
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameReadLibBox
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameReadLibGen
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameReadLibGen2
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameReadLibLut
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameReadLibSuper
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameReadStore
  0.00      5.59     0.00        1     0.00     0.00  Abc_FrameSetLibLut
