Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    141.67     0.00    21579     0.00     0.00  st__free_gen
  0.00    141.67     0.00    21579     0.00     0.00  st__init_gen
  0.00    141.67     0.00    21576     0.00     0.00  Abc_ConvertBddToSop
  0.00    141.67     0.00    21576     0.00     0.00  Abc_NtkSopTranspose
  0.00    141.67     0.00    21576     0.00     0.00  Abc_SopIsComplement
  0.00    141.67     0.00    21576     0.00     0.00  Extra_TransferPermute
  0.00    141.67     0.00    21576     0.00     0.00  extraTransferPermuteRecur
  0.00    141.67     0.00    21575     0.00     0.00  Abc_ConvertAigToBdd_rec1
  0.00    141.67     0.00    21575     0.00     0.00  Abc_ConvertAigToBdd_rec2
  0.00    141.67     0.00    21575     0.00     0.00  Abc_ConvertZddToSop
  0.00    141.67     0.00    21575     0.00     0.00  Abc_ConvertZddToSop_rec
  0.00    141.67     0.00    21575     0.00     0.00  Abc_CountZddCubes
  0.00    141.67     0.00    21575     0.00     0.00  Abc_CountZddCubes_rec
  0.00    141.67     0.00    21575     0.00     0.00  Cudd_zddIsop
  0.00    141.67     0.00    21575     0.00     0.00  cuddZddIsop
  0.00    141.67     0.00    21112     0.00     0.00  Abc_NtkLevel_rec
  0.00    141.67     0.00    21111     0.00     0.00  Abc_ObjLevelNew
  0.00    141.67     0.00    21111     0.00     0.00  If_CutRotatePins
  0.00    141.67     0.00    21111     0.00     0.00  If_CutTruthPermute
  0.00    141.67     0.00    21111     0.00     0.00  If_CutTruthW
  0.00    141.67     0.00    21111     0.00     0.00  Kit_GraphToHop
  0.00    141.67     0.00    21111     0.00     0.00  Kit_GraphToHopInternal
  0.00    141.67     0.00    21111     0.00     0.00  Kit_TruthToHop
  0.00    141.67     0.00    14655     0.00     0.00  Nm_HashString
  0.00    141.67     0.00    13396     0.00     0.00  Mem_FixedEntryRecycle
  0.00    141.67     0.00    13395     0.00     0.00  Mem_StepEntryRecycle
  0.00    141.67     0.00    13278     0.00     0.00  Fxch_DivRemove
  0.00    141.67     0.00    10788     0.00     0.00  Abc_ObjName
  0.00    141.67     0.00    10788     0.00     0.00  Nm_ManCreateUniqueName
  0.00    141.67     0.00     9118     0.00     0.00  Fxch_DivCreate
  0.00    141.67     0.00     7072     0.00     0.00  Dar_TruthPolarize
  0.00    141.67     0.00     7023     0.00     0.00  Nm_ManTableLookupName
  0.00    141.67     0.00     5832     0.00     0.00  Vec_QueMoveDown
  0.00    141.67     0.00     4237     0.00     0.00  Nm_ManFindNameById
  0.00    141.67     0.00     4220     0.00     0.00  Abc_ObjAssignName
  0.00    141.67     0.00     4220     0.00     0.00  Extra_MmFlexEntryFetch
  0.00    141.67     0.00     4220     0.00     0.00  Nm_ManStoreIdName
  0.00    141.67     0.00     4220     0.00     0.00  Nm_ManTableAdd
  0.00    141.67     0.00     3647     0.00     0.00  Vec_WecPushLevel
  0.00    141.67     0.00     2802     0.00     0.00  Nm_ManFindIdByName
  0.00    141.67     0.00     2335     0.00     0.00  If_ManMarkMapping_rec
  0.00    141.67     0.00     2149     0.00     0.00  cuddUniqueInterZdd
  0.00    141.67     0.00     1878     0.00     0.00  Abc_NtkDupObj
  0.00    141.67     0.00     1797     0.00     0.00  cuddAllocNode
  0.00    141.67     0.00     1729     0.00     0.00  Extra_UtilStrsav
  0.00    141.67     0.00     1466     0.00     0.00  cuddZddUnion
  0.00    141.67     0.00     1401     0.00     0.00  Abc_NtkIsAcyclic_rec
  0.00    141.67     0.00     1401     0.00     0.00  Nm_ManFindIdByNameTwoTypes
  0.00    141.67     0.00     1170     0.00     0.00  Fxch_DivIsNotConstant1
  0.00    141.67     0.00     1170     0.00     0.00  Fxch_ManCreateCube
  0.00    141.67     0.00     1170     0.00     0.03  Fxch_ManUpdate
  0.00    141.67     0.00      945     0.00     0.00  If_ManCreateCi
  0.00    141.67     0.00      915     0.00     0.00  Fxch_DivRemoveLits
  0.00    141.67     0.00      896     0.00     0.00  cuddBddXorRecur
  0.00    141.67     0.00      833     0.00     0.00  st__delete
  0.00    141.67     0.00      833     0.00     0.00  st__insert
  0.00    141.67     0.00      783     0.00     0.00  cuddZddSubset0
  0.00    141.67     0.00      783     0.00     0.00  zdd_subset0_aux
  0.00    141.67     0.00      707     0.00     0.00  CmdCommandFree
  0.00    141.67     0.00      707     0.00     0.00  Cmd_CommandAdd
  0.00    141.67     0.00      667     0.00     0.00  cuddZddGetNode
  0.00    141.67     0.00      595     0.00     0.00  If_ManSetupSet
  0.00    141.67     0.00      522     0.00     0.00  cuddZddGetCofactors3
  0.00    141.67     0.00      522     0.00     0.00  cuddZddSubset1
  0.00    141.67     0.00      522     0.00     0.00  zdd_subset1_aux
  0.00    141.67     0.00      468     0.00     0.00  Abc_NodeIsConst
  0.00    141.67     0.00      467     0.00     0.00  Abc_AigDfs_rec
