Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.37     0.00     2741     0.00     0.00  Nm_ManCreateUniqueName
  0.00      1.37     0.00     2643     0.00     0.00  Cudd_Deref
  0.00      1.37     0.00     2582     0.00     0.00  cuddCacheLookup2Zdd
  0.00      1.37     0.00     2415     0.00     0.00  If_ManSetupObj
  0.00      1.37     0.00     2293     0.00     0.00  Hop_Hash
  0.00      1.37     0.00     2247     0.00     0.00  Hop_TableLookup
  0.00      1.37     0.00     2239     0.00     0.00  Fxch_DivRemove
  0.00      1.37     0.00     2220     0.00     0.00  cuddReclaim
  0.00      1.37     0.00     2108     0.00     0.00  Fxch_ManDivSingleCube
  0.00      1.37     0.00     2096     0.00     0.00  Hop_And
  0.00      1.37     0.00     2094     0.00     0.00  Cudd_bddAnd
  0.00      1.37     0.00     2076     0.00     0.00  Fxch_ManDivDoubleCube
  0.00      1.37     0.00     2064     0.00     0.00  cuddReclaimZdd
  0.00      1.37     0.00     2037     0.00     0.00  Abc_AigAnd
  0.00      1.37     0.00     2037     0.00     0.00  Abc_NodeIsExorType
  0.00      1.37     0.00     2037     0.00     0.00  If_ManCreateAnd
  0.00      1.37     0.00     1804     0.00     0.00  Fxch_ManComputeLevelCube
  0.00      1.37     0.00     1772     0.00     0.00  Vec_IntPush
  0.00      1.37     0.00     1722     0.00     0.00  Nm_ManTableLookupName
  0.00      1.37     0.00     1712     0.00     0.00  Vec_QueMoveDown
  0.00      1.37     0.00     1702     0.00     0.00  Extra_UtilStrsav
  0.00      1.37     0.00     1627     0.00     0.00  Abc_ObjRemoveFanins
  0.00      1.37     0.00     1627     0.00     0.00  Abc_SopCheck
  0.00      1.37     0.00     1627     0.00     0.00  Abc_SopStart
  0.00      1.37     0.00     1545     0.00     0.00  st__free_table
  0.00      1.37     0.00     1545     0.00     0.00  st__init_table
  0.00      1.37     0.00     1545     0.00     0.00  st__init_table_with_params
  0.00      1.37     0.00     1544     0.00     0.00  st__free_gen
  0.00      1.37     0.00     1544     0.00     0.00  st__init_gen
  0.00      1.37     0.00     1541     0.00     0.00  Abc_ConvertBddToSop
  0.00      1.37     0.00     1541     0.00     0.00  Abc_NtkSopTranspose
  0.00      1.37     0.00     1541     0.00     0.00  Abc_SopIsComplement
  0.00      1.37     0.00     1541     0.00     0.00  extraTransferPermuteRecur
  0.00      1.37     0.00     1540     0.00     0.00  Abc_ConvertAigToBdd_rec1
  0.00      1.37     0.00     1540     0.00     0.00  Abc_ConvertAigToBdd_rec2
  0.00      1.37     0.00     1540     0.00     0.00  Abc_ConvertZddToSop
  0.00      1.37     0.00     1540     0.00     0.00  Abc_ConvertZddToSop_rec
  0.00      1.37     0.00     1540     0.00     0.00  Abc_CountZddCubes
  0.00      1.37     0.00     1540     0.00     0.00  Abc_CountZddCubes_rec
  0.00      1.37     0.00     1540     0.00     0.00  Cudd_zddIsop
  0.00      1.37     0.00     1540     0.00     0.00  cuddZddIsop
  0.00      1.37     0.00     1436     0.00     0.00  Abc_NtkLevel_rec
  0.00      1.37     0.00     1435     0.00     0.00  Abc_ObjLevelNew
  0.00      1.37     0.00     1435     0.00     0.00  If_CutRotatePins
  0.00      1.37     0.00     1435     0.00     0.00  If_CutTruthPermute
  0.00      1.37     0.00     1435     0.00     0.00  If_CutTruthW
  0.00      1.37     0.00     1435     0.00     0.00  Kit_GraphToHop
  0.00      1.37     0.00     1435     0.00     0.00  Kit_GraphToHopInternal
  0.00      1.37     0.00     1435     0.00     0.00  Kit_TruthToHop
  0.00      1.37     0.00     1184     0.00     0.00  Mem_FixedEntryRecycle
  0.00      1.37     0.00     1183     0.00     0.00  Mem_StepEntryRecycle
  0.00      1.37     0.00     1132     0.00     0.00  Nm_ManFindNameById
  0.00      1.37     0.00     1073     0.00     0.00  Abc_ObjAssignName
  0.00      1.37     0.00     1073     0.00     0.00  Extra_MmFlexEntryFetch
  0.00      1.37     0.00     1073     0.00     0.00  Nm_ManStoreIdName
  0.00      1.37     0.00     1073     0.00     0.00  Nm_ManTableAdd
  0.00      1.37     0.00     1046     0.00     0.00  cuddUniqueInterZdd
  0.00      1.37     0.00      833     0.00     0.00  st__delete
  0.00      1.37     0.00      833     0.00     0.00  st__insert
  0.00      1.37     0.00      810     0.00     0.00  Vec_IntClear
  0.00      1.37     0.00      726     0.00     0.00  cuddZddUnion
  0.00      1.37     0.00      707     0.00     0.00  CmdCommandFree
  0.00      1.37     0.00      707     0.00     0.00  Cmd_CommandAdd
  0.00      1.37     0.00      648     0.00     0.00  Nm_ManFindIdByName
  0.00      1.37     0.00      636     0.00     0.00  cuddAllocNode
  0.00      1.37     0.00      540     0.00     0.00  If_ManMarkMapping_rec
  0.00      1.37     0.00      484     0.00     0.00  Abc_NtkDupObj
  0.00      1.37     0.00      482     0.00     0.00  Vec_IntAppendSkip
  0.00      1.37     0.00      414     0.00     0.00  cuddZddSubset0
  0.00      1.37     0.00      414     0.00     0.00  zdd_subset0_aux
  0.00      1.37     0.00      376     0.00     0.00  Vec_IntDrop
  0.00      1.37     0.00      324     0.00     0.00  Abc_NtkIsAcyclic_rec
  0.00      1.37     0.00      324     0.00     0.00  Nm_ManFindIdByNameTwoTypes
  0.00      1.37     0.00      322     0.00     0.00  Vec_WecPush
  0.00      1.37     0.00      304     0.00     0.00  cuddZddGetNode
  0.00      1.37     0.00      276     0.00     0.00  cuddZddGetCofactors3
  0.00      1.37     0.00      276     0.00     0.00  cuddZddSubset1
  0.00      1.37     0.00      276     0.00     0.00  zdd_subset1_aux
  0.00      1.37     0.00      269     0.00     0.00  CmdFreeArgv
  0.00      1.37     0.00      269     0.00     0.00  If_ManCreateCi
  0.00      1.37     0.00      264     0.00     0.00  Extra_CpuTimeDouble
  0.00      1.37     0.00      241     0.00     0.00  Fxch_DivCreate
  0.00      1.37     0.00      241     0.00     0.00  Vec_IntEqual
  0.00      1.37     0.00      214     0.00     0.00  If_ManSetupSet
  0.00      1.37     0.00      174     0.00     0.00  cuddZddGetNodeIVO
  0.00      1.37     0.00      174     0.00     0.00  cuddZddProduct
  0.00      1.37     0.00      159     0.00     0.00  Vec_IntGrow
  0.00      1.37     0.00      158     0.00     0.00  CmdSplitLine
  0.00      1.37     0.00      157     0.00     0.00  CmdApplyAlias
  0.00      1.37     0.00      157     0.00     0.01  CmdCommandDispatch
  0.00      1.37     0.00      153     0.00     0.00  Cmd_CommandExecute
  0.00      1.37     0.00      151     0.00     0.00  Hop_ObjConnect
  0.00      1.37     0.00      151     0.00     0.00  Hop_ObjCreate
  0.00      1.37     0.00      151     0.00     0.00  Hop_TableFind
  0.00      1.37     0.00      151     0.00     0.00  Hop_TableInsert
  0.00      1.37     0.00      150     0.00     0.00  CmdHistorySubstitution
  0.00      1.37     0.00      138     0.00     0.00  cuddZddGetNegVarLevel
  0.00      1.37     0.00      138     0.00     0.00  cuddZddGetPosVarLevel
  0.00      1.37     0.00      137     0.00     0.00  Extra_UtilGetopt
  0.00      1.37     0.00      133     0.00     0.00  Extra_UtilGetoptReset
  0.00      1.37     0.00      132     0.00     0.00  cmdCheckShellEscape
  0.00      1.37     0.00      129     0.00     0.00  cuddBddXorRecur
  0.00      1.37     0.00      112     0.00     0.00  CmdCommandAlias
  0.00      1.37     0.00      112     0.00     0.00  CmdCommandAliasAdd
  0.00      1.37     0.00      112     0.00     0.00  CmdCommandAliasFree
  0.00      1.37     0.00      109     0.00     0.00  Abc_NodeIsConst
  0.00      1.37     0.00      108     0.00     0.00  Abc_AigDfs_rec
  0.00      1.37     0.00      108     0.00     0.00  Abc_NodeFromIf_rec
  0.00      1.37     0.00      108     0.00     0.00  If_ManCreateCo
  0.00      1.37     0.00      107     0.00     0.00  Abc_NtkDupBox
  0.00      1.37     0.00      106     0.00     0.00  Abc_ObjPatchFanin
  0.00      1.37     0.00      105     0.00     0.00  Abc_NtkCreateNodeBuf
  0.00      1.37     0.00      105     0.00     0.00  Vec_PtrPush
  0.00      1.37     0.00       86     0.00     0.00  Fxch_DivIsNotConstant1
  0.00      1.37     0.00       86     0.00     0.00  Fxch_ManCreateCube
  0.00      1.37     0.00       86     0.00     0.00  Fxch_ManExtractDivFromCubePairs
  0.00      1.37     0.00       86     0.00     0.00  Fxch_ManUpdate
  0.00      1.37     0.00       67     0.00     0.00  Abc_FrameIsBridgeMode
  0.00      1.37     0.00       38     0.00     0.00  Fxch_DivRemoveLits
  0.00      1.37     0.00       28     0.00     0.00  Gluco::Option::Option(char const*, char const*, char const*, char const*)
  0.00      1.37     0.00       28     0.00     0.00  Gluco2::Option::Option(char const*, char const*, char const*, char const*)
  0.00      1.37     0.00       23     0.00     0.00  Mem_FixedStart
  0.00      1.37     0.00       23     0.00     0.00  Mem_FixedStop
  0.00      1.37     0.00       22     0.00     0.00  cuddComputeFloorLog2
  0.00      1.37     0.00       20     0.00     0.00  Abc_Print
  0.00      1.37     0.00       19     0.00     0.00  Abc_FrameReadNtk
  0.00      1.37     0.00       16     0.00     0.00  Fxch_DivSepareteCubes
  0.00      1.37     0.00       15     0.00     0.00  Cmd_CommandHandleSpecial
  0.00      1.37     0.00       14     0.00     0.00  CmdCommandSetVariable
  0.00      1.37     0.00       12     0.00     0.00  Gia_ManStopP
  0.00      1.37     0.00       10     0.00     0.00  Abc_FrameGetGlobalFrame
  0.00      1.37     0.00        9     0.00     0.00  Extra_FileNameExtension
  0.00      1.37     0.00        9     0.00     0.00  Mtr_AllocNode
  0.00      1.37     0.00        9     0.00     0.00  Mtr_DeallocNode
  0.00      1.37     0.00        8     0.00     0.00  Abc_FrameShowProgress
  0.00      1.37     0.00        8     0.00     0.00  Cudd_bddIthVar
  0.00      1.37     0.00        8     0.00     0.00  Extra_ProgressBarStart
  0.00      1.37     0.00        8     0.00     0.00  Extra_ProgressBarStop
  0.00      1.37     0.00        8     0.00     0.00  Hop_ObjCreatePi
  0.00      1.37     0.00        8     0.00     0.00  Mtr_MakeGroup
  0.00      1.37     0.00        8     0.00     0.00  cuddUniqueConst
  0.00      1.37     0.00        8     0.00     0.00  rehash
  0.00      1.37     0.00        6     0.00     0.00  Abc_Print
  0.00      1.37     0.00        6     0.00     0.00  Vec_MemHashInsert
  0.00      1.37     0.00        6     0.00     0.00  Vec_MemHashLookup
  0.00      1.37     0.00        5     0.00     0.00  Abc_NtkCleanCopy
  0.00      1.37     0.00        5     0.00     0.00  If_ManComputeRequired
  0.00      1.37     0.00        5     0.00     0.00  If_ManDelayMax
  0.00      1.37     0.00        5     0.00     0.00  If_ManMarkMapping
  0.00      1.37     0.00        5     0.00     0.02  If_ManPerformMappingRound
  0.00      1.37     0.00        4     0.00     0.00  Abc_Print
  0.00      1.37     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCiNames
  0.00      1.37     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCioNames
  0.00      1.37     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCoNames
  0.00      1.37     0.00        3     0.00     0.00  Abc_NtkDoCheck
  0.00      1.37     0.00        3     0.00     0.00  Abc_NtkIsAcyclic
  0.00      1.37     0.00        3     0.00     0.00  Abc_NtkSortCubes
  0.00      1.37     0.00        3     0.00     0.00  Cmd_HistoryAddCommand
  0.00      1.37     0.00        3     0.00     0.00  Nm_ManReturnNameIds
  0.00      1.37     0.00        3     0.00     0.00  cuddClearDeathRow
  0.00      1.37     0.00        2     0.00     0.00  Abc_FrameReplaceCurrentNetwork
  0.00      1.37     0.00        2     0.00     0.00  Abc_NtkAlloc
  0.00      1.37     0.00        2     0.00     0.00  Abc_NtkCheck
  0.00      1.37     0.00        2     0.00     0.00  Abc_NtkCreateNodeConst1
  0.00      1.37     0.00        2     0.00     0.00  Abc_NtkDelete
  0.00      1.37     0.00        2     0.00     0.00  Abc_Print
  0.00      1.37     0.00        2     0.00     0.00  Cudd_CheckZeroRef
  0.00      1.37     0.00        2     0.00     0.01  Cudd_Init
  0.00      1.37     0.00        2     0.00     0.00  Cudd_Quit
  0.00      1.37     0.00        2     0.00     0.00  Cudd_ReadOne
  0.00      1.37     0.00        2     0.00     0.00  Cudd_SetMinHit
  0.00      1.37     0.00        2     0.00     0.00  Dar_ArrayAlloc
  0.00      1.37     0.00        2     0.00     0.00  Dar_Factorial
  0.00      1.37     0.00        2     0.00     0.00  Dar_Permutations
  0.00      1.37     0.00        2     0.00     0.00  Dar_Permutations_rec
  0.00      1.37     0.00        2     0.00     0.00  Extra_GetSoftDataLimit
  0.00      1.37     0.00        2     0.00     0.00  Extra_MmFlexStart
  0.00      1.37     0.00        2     0.00     0.00  Extra_MmFlexStop
  0.00      1.37     0.00        2     0.00     0.00  Extra_StopManager
  0.00      1.37     0.00        2     0.00     0.00  Extra_UtilCheckFile
  0.00      1.37     0.00        2     0.00     0.00  Extra_UtilFileSearch
  0.00      1.37     0.00        2     0.00     0.00  Fxch_ManPrintStats
  0.00      1.37     0.00        2     0.00     0.00  If_ManResetOriginalRefs
  0.00      1.37     0.00        2     0.00     0.00  Mem_FixedReadMemUsage
  0.00      1.37     0.00        2     0.00     0.00  Mem_StepReadMemUsage
  0.00      1.37     0.00        2     0.00     0.00  Mem_StepStart
  0.00      1.37     0.00        2     0.00     0.00  Mem_StepStop
  0.00      1.37     0.00        2     0.00     0.00  Nm_ManCreate
  0.00      1.37     0.00        2     0.00     0.00  Nm_ManFree
  0.00      1.37     0.00        2     0.00     0.00  Vec_WecRemoveEmpty
  0.00      1.37     0.00        2     0.00     0.00  CaDiCaL::Terminal::Terminal(_IO_FILE*)
  0.00      1.37     0.00        2     0.00     0.00  cuddFreeTable
  0.00      1.37     0.00        2     0.00     0.00  cuddInitTable
  0.00      1.37     0.00        2     0.00     0.00  cuddZddFreeUniv
  0.00      1.37     0.00        1     0.00     0.00  Abc_AigAlloc
  0.00      1.37     0.00        1     0.00     0.00  Abc_AigCheck
  0.00      1.37     0.00        1     0.00     0.00  Abc_AigCleanup
  0.00      1.37     0.00        1     0.00     0.00  Abc_AigDfs
  0.00      1.37     0.00        1     0.00     0.00  Abc_AigFree
  0.00      1.37     0.00        1     0.00     0.00  Abc_Base2Log
  0.00      1.37     0.00        1     0.00     0.01  Abc_CommandBdd
  0.00      1.37     0.00        1     0.00     1.08  Abc_CommandFxch
  0.00      1.37     0.00        1     0.00     0.00  Abc_CommandRenode
  0.00      1.37     0.00        1     0.00     0.00  Abc_CommandSop
  0.00      1.37     0.00        1     0.00     0.00  Abc_End
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameAllocate
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameClearVerifStatus
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameCopyLTLDataBase
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameDeallocate
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameDeleteAllNetworks
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameEnd
  0.00      1.37     0.00        1     0.00     0.03  Abc_FrameInit
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameReadLibBox
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameReadLibGen
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameReadLibGen2
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameReadLibLut
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameReadLibSuper
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameReadStore
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameSetLibLut
  0.00      1.37     0.00        1     0.00     0.00  Abc_FrameStoreStop
  0.00      1.37     0.00        1     0.00     0.03  Abc_Init
  0.00      1.37     0.00        1     0.00     0.00  Abc_ManTimeDup
  0.00      1.37     0.00        1     0.00     0.00  Abc_NamDeref
  0.00      1.37     0.00        1     0.00     0.00  Abc_NodeCollectFanins
  0.00      1.37     0.00        1     0.00     0.00  Abc_NodeCollectFanouts
  0.00      1.37     0.00        1     0.00     0.00  Abc_NodeIsConst0
  0.00      1.37     0.00        1     0.00     0.01  Abc_NtkAigToBdd
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkBddToSop
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkCheckRead
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkCompareAndSaveBest
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkDeleteObj
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkFraigStoreClean
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkFxCheck
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkFxInsert
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkFxRetrieve
  0.00      1.37     0.00        1     0.00     1.08  Abc_NtkFxchPerform
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkGetChoiceNum
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkGetCiArrivalFloats
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkGetCoRequiredFloats
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkGetFaninMax
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkIf
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkLevel
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkLogicMakeSimpleCos
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkOrderFaninsByLitCount
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkOrderFaninsByLitCountAndCubeCount
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkRecIsRunning3
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkRenode
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkSortSops
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkStartFrom
  0.00      1.37     0.00        1     0.00     0.01  Abc_NtkToBdd
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkToIf
  0.00      1.37     0.00        1     0.00     0.00  Abc_NtkToSop
  0.00      1.37     0.00        1     0.00     0.00  Abc_ObjRecycle
  0.00      1.37     0.00        1     0.00     0.00  Abc_Print
  0.00      1.37     0.00        1     0.00     1.25  Abc_RealMain
  0.00      1.37     0.00        1     0.00     0.00  Abc_SclLoad
  0.00      1.37     0.00        1     0.00     0.31  Abc_Stop
